"trade_date","open","high","low","close","pct_chg","vol"
"20250103","6.56","6.6","6.12","6.12","-10","8274226.4"
"20250102","6.3","6.97","6.17","6.8","7.2555","10674662.96"
"20241231","6.65","6.95","6.16","6.34","-6.0741","5969831.31"
"20241230","6.8","6.96","6.62","6.75","-2.0319","5648939.58"
"20241227","6.6","7.25","6.58","6.89","1.1747","9233652.97"
"20241226","6.43","7","6.23","6.81","5.9098","8209327.43"
"20241225","6.02","6.64","5.82","6.43","5.2373","7040319.45"
"20241224","5.9","6.29","5.73","6.11","2.862","5980441.74"
"20241223","6.25","6.33","5.91","5.94","-4.5016","5370363.65"
"20241220","6.31","6.5","6.2","6.22","-0.639","5479945.91"
"20241219","6.6","6.6","6.2","6.26","-8.8792","7177953.79"
"20241218","6.19","6.88","6.19","6.87","-0.1453","9658177.74"
"20241217","7.15","7.35","6.88","6.88","-9.9476","4446688.85"
"20241216","7.16","7.87","6.89","7.64","6.8531","13917606.4"
"20241213","6.77","7.62","6.66","7.15","3.0259","13703780.63"
"20241212","6.11","6.94","6.1","6.94","9.9842","11459897.86"
"20241211","6","6.5","5.83","6.31","4.6434","10457858.56"
"20241210","6.03","6.03","6.03","6.03","10.0365","2086319.99"
"20241209","5.5","5.8","5.43","5.48","-2.4911","5198535.67"
"20241206","5.69","5.88","5.58","5.62","-6.7993","8143335.48"
"20241205","6.1","6.55","5.92","6.03","-7.5153","11503858.44"
"20241204","5.65","6.52","5.34","6.52","9.9494","13943681.74"
"20241203","6.05","6.09","5.6","5.93","7.0397","12558221.99"
"20241202","5.3","5.54","5.25","5.54","9.9206","2540093"
